Stimulus,TargetScore,features,Cluster,Time Period,Frequency,Estimator,SHAP_value
Control,Aesthetic_Appeal,"CL5_(0, 5)_alpha",CL5,"(0, 5)",alpha,LightGBM,0.032895414408814896
Control,Aesthetic_Appeal,"CL5_(0, 5)_beta",CL5,"(0, 5)",beta,LightGBM,-0.003618692518987664
Control,Aesthetic_Appeal,"CL5_(0, 5)_delta",CL5,"(0, 5)",delta,LightGBM,0.002272412623542072
Control,Aesthetic_Appeal,"CL5_(0, 5)_lower gamma",CL5,"(0, 5)",lower gamma,LightGBM,0.011304070939815877
Control,Aesthetic_Appeal,"CL5_(0, 5)_theta",CL5,"(0, 5)",theta,LightGBM,0.0016101172306637933
Control,Aesthetic_Appeal,"CL5_(5, 10)_alpha",CL5,"(5, 10)",alpha,LightGBM,0.04132985378176896
Control,Aesthetic_Appeal,"CL5_(5, 10)_beta",CL5,"(5, 10)",beta,LightGBM,-0.005749407252133064
Control,Aesthetic_Appeal,"CL5_(5, 10)_delta",CL5,"(5, 10)",delta,LightGBM,0.005423487297796277
Control,Aesthetic_Appeal,"CL5_(5, 10)_lower gamma",CL5,"(5, 10)",lower gamma,LightGBM,0.012640053130197716
Control,Aesthetic_Appeal,"CL5_(5, 10)_theta",CL5,"(5, 10)",theta,LightGBM,-0.002173679242378286
Control,Aesthetic_Appeal,"CL6_(-4, 0)_alpha",CL6,"(-4, 0)",alpha,LightGBM,0.025307514639631153
Control,Aesthetic_Appeal,"CL6_(-4, 0)_beta",CL6,"(-4, 0)",beta,LightGBM,0.003112863020033057
Control,Aesthetic_Appeal,"CL6_(-4, 0)_delta",CL6,"(-4, 0)",delta,LightGBM,0.009962133231653271
Control,Aesthetic_Appeal,"CL6_(-4, 0)_lower gamma",CL6,"(-4, 0)",lower gamma,LightGBM,0.005757645198373071
Control,Aesthetic_Appeal,"CL6_(-4, 0)_theta",CL6,"(-4, 0)",theta,LightGBM,-0.0020837998742621144
Control,Aesthetic_Appeal,"CL6_(0, 5)_alpha",CL6,"(0, 5)",alpha,LightGBM,0.03843646515468169
Control,Aesthetic_Appeal,"CL6_(0, 5)_beta",CL6,"(0, 5)",beta,LightGBM,-0.004917048197725459
Control,Aesthetic_Appeal,"CL6_(0, 5)_delta",CL6,"(0, 5)",delta,LightGBM,0.0022896736467446473
Control,Aesthetic_Appeal,"CL6_(0, 5)_lower gamma",CL6,"(0, 5)",lower gamma,LightGBM,0.009913512274179075
Control,Aesthetic_Appeal,"CL6_(0, 5)_theta",CL6,"(0, 5)",theta,LightGBM,0.00704601613943731
Control,Aesthetic_Appeal,"CL6_(5, 10)_alpha",CL6,"(5, 10)",alpha,LightGBM,0.03711798279989314
Control,Aesthetic_Appeal,"CL6_(5, 10)_beta",CL6,"(5, 10)",beta,LightGBM,-0.005422376022379199
Control,Aesthetic_Appeal,"CL6_(5, 10)_delta",CL6,"(5, 10)",delta,LightGBM,0.00608590458888515
