Stimulus,TargetScore,features,params,p_values,params_significant,Cluster,Time Period,Frequency,Estimator_x,Estimator_y,SHAP_value
Control,Vivid_Imagery,"CL1_(0, 5)_beta",0.0454145711076469,0.598894029215323,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,-0.00011097693576300955
Control,Moved,"CL1_(0, 5)_beta",0.0389194949903515,0.6613488098583629,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,-0.001947076732902669
Control,Originality,"CL1_(0, 5)_beta",0.1429305324531994,0.1055715932737966,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,-0.0013080236077761818
Control,Creativity,"CL1_(0, 5)_beta",0.2443517633585,0.1108166753662219,0.0,CL1,"(0, 5)",beta,Linear,LightGBM,0.0024928691625737943
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_delta",-0.0697446562557751,0.179373815696945,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,-0.0012271684450460131
Haiku,Vivid_Imagery,"CL1_(0, 5)_delta",-0.1055688625633639,0.0444382842707185,-0.1055688625633639,CL1,"(0, 5)",delta,Linear,LightGBM,0.003268223113589688
Haiku,Moved,"CL1_(0, 5)_delta",0.0022401146260193,0.9806013109521112,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,0.0006884964128536201
Haiku,Originality,"CL1_(0, 5)_delta",0.0030411973293165,0.9731574784884056,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,0.024180097531891112
Haiku,Creativity,"CL1_(0, 5)_delta",0.1561257240385614,0.0805635904030845,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,-0.0008428896531641553
Senryu,Aesthetic_Appeal,"CL1_(0, 5)_delta",0.1679968311911956,0.0320106413722641,0.1679968311911956,CL1,"(0, 5)",delta,Linear,LightGBM,0.018308540788651885
Senryu,Vivid_Imagery,"CL1_(0, 5)_delta",-0.0380007278519364,0.6224817977078552,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,0.0
Senryu,Moved,"CL1_(0, 5)_delta",-0.0040541830769132,0.9269212528407874,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,0.0004586906598476433
Senryu,Originality,"CL1_(0, 5)_delta",0.0325749622963163,0.4627166411738979,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,0.0015050740997507874
Senryu,Creativity,"CL1_(0, 5)_delta",0.0729930535846971,0.3405902239683079,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,0.004815217210377852
Control,Aesthetic_Appeal,"CL1_(0, 5)_delta",0.1200273935267376,0.0032099585740191,0.1200273935267376,CL1,"(0, 5)",delta,Linear,LightGBM,0.004419910961910236
Control,Vivid_Imagery,"CL1_(0, 5)_delta",0.0195048304482858,0.6284665619070511,0.0,CL1,"(0, 5)",delta,Linear,LightGBM,5.241216933001558e-05
Control,Moved,"CL1_(0, 5)_delta",0.1536620690967802,0.0002161269629052,0.1536620690967802,CL1,"(0, 5)",delta,Linear,LightGBM,2.752894490947588e-05
Control,Originality,"CL1_(0, 5)_delta",0.1744387668179668,2.313020241003267e-05,0.1744387668179668,CL1,"(0, 5)",delta,Linear,LightGBM,-1.7124616600762842e-06
