Stimulus,TargetScore,features,params,p_values,params_significant,Cluster,Time Period,Frequency,Estimator_x,Estimator_y,SHAP_value
Haiku,Creativity,"CL1_(-4, 0)_lower gamma",0.162585354377639,0.2383922103246901,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,-0.40505679464252625
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_lower gamma",0.0505112084582734,0.6579817325449455,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.5992550984725644
Senryu,Vivid_Imagery,"CL1_(-4, 0)_lower gamma",0.0811433543408145,0.4812342952357501,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.46826300417916905
Senryu,Moved,"CL1_(-4, 0)_lower gamma",0.0199200403345204,0.7615061636042044,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.42929807450776614
Senryu,Originality,"CL1_(-4, 0)_lower gamma",0.0537094654069889,0.642075922292757,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,-0.15255943792113877
Senryu,Creativity,"CL1_(-4, 0)_lower gamma",0.1480042906044678,0.1974968920839992,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,1.6135442095231123
Control,Aesthetic_Appeal,"CL1_(-4, 0)_lower gamma",0.1194163851213787,0.0651480379723472,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,26.11491495574301
Control,Vivid_Imagery,"CL1_(-4, 0)_lower gamma",0.0668076405097168,0.2979255188628034,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,1.918186223532197
Control,Moved,"CL1_(-4, 0)_lower gamma",0.081361210134847,0.2152077882061862,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,-8.28487084482725
Control,Originality,"CL1_(-4, 0)_lower gamma",0.079784697875093,0.2242409283614538,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,-2.790964254879065
Control,Creativity,"CL1_(-4, 0)_lower gamma",0.0845905720244306,0.1995170540909294,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,3.906022972715954
